image_name,category,nucleus_id,centroid_y_px,centroid_x_px,centroid_y_um,centroid_x_um,area_px,area_um2
FL_examples (1),follicular_lymphoma,96,129.8625,161.75,59.737,74.405,160,33.856
FL_examples (1),follicular_lymphoma,97,131.81333333333333,111.46666666666667,60.634,51.275,150,31.74
FL_examples (1),follicular_lymphoma,98,136.19642857142858,38.660714285714285,62.65,17.784,112,23.699
FL_examples (1),follicular_lymphoma,99,133.76377952755905,74.49606299212599,61.531,34.268,127,26.873
FL_examples (1),follicular_lymphoma,100,135.54263565891472,140.50387596899225,62.35,64.632,129,27.296
FL_examples (1),follicular_lymphoma,101,133.8,181.51724137931035,61.548,83.498,145,30.682
FL_examples (1),follicular_lymphoma,102,136.35031847133757,86.26114649681529,62.721,39.68,157,33.221
FL_examples (1),follicular_lymphoma,103,140.51923076923077,54.52564102564103,64.639,25.082,156,33.01
FL_examples (1),follicular_lymphoma,104,142.14545454545456,95.75757575757575,65.387,44.048,165,34.914
FL_examples (1),follicular_lymphoma,105,137.95833333333334,152.60416666666666,63.461,70.198,96,20.314
FL_examples (1),follicular_lymphoma,106,138.90540540540542,195.66216216216216,63.896,90.005,74,15.658
FL_examples (1),follicular_lymphoma,107,142.8913043478261,123.0,65.73,56.58,92,19.467
FL_examples (1),follicular_lymphoma,108,139.2905982905983,205.04273504273505,64.074,94.32,117,24.757
FL_examples (1),follicular_lymphoma,109,144.0777202072539,11.94818652849741,66.276,5.496,193,40.839
FL_examples (1),follicular_lymphoma,110,147.77173913043478,31.695652173913043,67.975,14.58,92,19.467
FL_examples (1),follicular_lymphoma,111,150.53333333333333,211.94444444444446,69.245,97.494,90,19.044
FL_examples (1),follicular_lymphoma,112,151.47252747252747,166.25274725274724,69.677,76.476,91,19.256
FL_examples (1),follicular_lymphoma,113,151.7766990291262,66.96116504854369,69.817,30.802,103,21.795
FL_examples (1),follicular_lymphoma,114,155.73831775700936,152.92523364485982,71.64,70.346,107,22.641
FL_examples (1),follicular_lymphoma,115,154.04166666666666,191.046875,70.859,87.882,192,40.627
FL_examples (1),follicular_lymphoma,116,157.1315789473684,136.32894736842104,72.281,62.711,76,16.082
FL_examples (1),follicular_lymphoma,117,157.25238095238095,117.62857142857143,72.336,54.109,210,44.436
FL_examples (1),follicular_lymphoma,118,159.1743119266055,32.22935779816514,73.22,14.826,109,23.064
FL_examples (1),follicular_lymphoma,119,159.11320754716982,102.0754716981132,73.192,46.955,53,11.215
FL_examples (1),follicular_lymphoma,120,159.94505494505495,53.20879120879121,73.575,24.476,91,19.256
FL_examples (1),follicular_lymphoma,121,161.8953488372093,201.7093023255814,74.472,92.786,86,18.198
FL_examples (1),follicular_lymphoma,122,165.67045454545453,70.23863636363636,76.208,32.31,88,18.621
FL_examples (1),follicular_lymphoma,123,165.59322033898306,92.16949152542372,76.173,42.398,59,12.484
FL_examples (1),follicular_lymphoma,124,166.13274336283186,172.38938053097345,76.421,79.299,113,23.911
FL_examples (1),follicular_lymphoma,125,167.98529411764707,140.5735294117647,77.273,64.664,68,14.389
FL_examples (1),follicular_lymphoma,126,170.35897435897436,160.5,78.365,73.83,78,16.505
FL_examples (1),follicular_lymphoma,127,171.24590163934425,34.868852459016395,78.773,16.04,61,12.908
FL_examples (1),follicular_lymphoma,128,170.11320754716982,214.06603773584905,78.252,98.47,212,44.859
FL_examples (1),follicular_lymphoma,129,172.27272727272728,130.12121212121212,79.245,59.856,66,13.966
FL_examples (1),follicular_lymphoma,130,174.75,107.58653846153847,80.385,49.49,104,22.006
FL_examples (1),follicular_lymphoma,131,174.2258064516129,14.8,80.144,6.808,155,32.798
FL_examples (1),follicular_lymphoma,132,179.1764705882353,93.21848739495799,82.421,42.881,119,25.18
FL_examples (1),follicular_lymphoma,133,178.58474576271186,187.1864406779661,82.149,86.106,118,24.969
FL_examples (1),follicular_lymphoma,134,180.70093457943926,44.25233644859813,83.122,20.356,107,22.641
FL_examples (1),follicular_lymphoma,135,177.81666666666666,56.40555555555556,81.796,25.947,180,38.088
FL_examples (1),follicular_lymphoma,136,181.16037735849056,76.49056603773585,83.334,35.186,106,22.43
FL_examples (1),follicular_lymphoma,137,180.94252873563218,143.2183908045977,83.234,65.88,87,18.409
FL_examples (1),follicular_lymphoma,138,181.51612903225808,153.01612903225808,83.497,70.387,62,13.119
FL_examples (1),follicular_lymphoma,139,182.41558441558442,164.5064935064935,83.911,75.673,77,16.293
FL_examples (1),follicular_lymphoma,140,183.53932584269663,129.9438202247191,84.428,59.774,89,18.832
FL_examples (1),follicular_lymphoma,141,192.76388888888889,30.666666666666668,88.671,14.107,72,15.235
FL_examples (1),follicular_lymphoma,142,192.43617021276594,46.3936170212766,88.521,21.341,94,19.89
FL_examples (1),follicular_lymphoma,143,192.95238095238096,117.46031746031746,88.758,54.032,63,13.331
FL_examples (1),follicular_lymphoma,144,192.87272727272727,131.14545454545456,88.721,60.327,110,23.276
FL_examples (1),follicular_lymphoma,145,194.1764705882353,171.5,89.321,78.89,102,21.583
FL_examples (1),follicular_lymphoma,146,191.86274509803923,182.36274509803923,88.257,83.887,102,21.583
FL_examples (1),follicular_lymphoma,147,193.73451327433628,85.39823008849558,89.118,39.283,113,23.911
FL_examples (1),follicular_lymphoma,148,194.5,18.794117647058822,89.47,8.645,68,14.389
FL_examples (1),follicular_lymphoma,149,192.51006711409397,201.66442953020135,88.555,92.766,149,31.528
FL_examples (1),follicular_lymphoma,150,195.23529411764707,157.42352941176472,89.808,72.415,85,17.986
FL_examples (1),follicular_lymphoma,151,197.79166666666666,59.875,90.984,27.543,48,10.157
FL_examples (1),follicular_lymphoma,152,197.75925925925927,73.42592592592592,90.969,33.776,108,22.853
FL_examples (1),follicular_lymphoma,153,200.99415204678363,4.9298245614035086,92.457,2.268,171,36.184
FL_examples (1),follicular_lymphoma,154,203.36641221374046,139.793893129771,93.549,64.305,131,27.72
FL_examples (1),follicular_lymphoma,155,202.8918918918919,33.7027027027027,93.33,15.503,37,7.829
FL_examples (1),follicular_lymphoma,156,205.79761904761904,209.85714285714286,94.667,96.534,84,17.774
FL_examples (1),follicular_lymphoma,157,208.86029411764707,44.68382352941177,96.076,20.555,136,28.778
FL_examples (1),follicular_lymphoma,158,209.80272108843536,167.0408163265306,96.509,76.839,147,31.105
FL_examples (1),follicular_lymphoma,159,207.68269230769232,193.70192307692307,95.534,89.103,104,22.006
FL_examples (1),follicular_lymphoma,160,209.2258064516129,68.45161290322581,96.244,31.488,93,19.679
FL_examples (1),follicular_lymphoma,161,210.52173913043478,95.82608695652173,96.84,44.08,23,4.867
FL_examples (1),follicular_lymphoma,162,217.36111111111111,54.87777777777778,99.986,25.244,180,38.088
FL_examples (1),follicular_lymphoma,163,213.76712328767124,14.95890410958904,98.333,6.881,73,15.447
FL_examples (1),follicular_lymphoma,164,217.2842105263158,26.589473684210525,99.951,12.231,95,20.102
FL_examples (1),follicular_lymphoma,165,216.31914893617022,178.58156028368793,99.507,82.148,141,29.836
FL_examples (1),follicular_lymphoma,166,213.2645739910314,113.01793721973094,98.102,51.988,223,47.187
FL_examples (1),follicular_lymphoma,167,217.9390243902439,8.195121951219512,100.252,3.77,82,17.351
FL_examples (1),follicular_lymphoma,168,217.11111111111111,127.5925925925926,99.871,58.693,54,11.426
FL_examples (1),follicular_lymphoma,169,216.85185185185185,153.24074074074073,99.752,70.491,108,22.853
FL_examples (1),follicular_lymphoma,170,218.08333333333334,217.51041666666666,100.318,100.055,96,20.314
FL_examples (10),follicular_lymphoma,1,5.54421768707483,22.285714285714285,2.55,10.251,147,31.105
FL_examples (10),follicular_lymphoma,2,6.476744186046512,40.883720930232556,2.979,18.807,86,18.198
FL_examples (10),follicular_lymphoma,3,8.623456790123457,76.04320987654322,3.967,34.98,162,34.279
FL_examples (10),follicular_lymphoma,4,7.549295774647887,104.90140845070422,3.473,48.255,142,30.047
FL_examples (10),follicular_lymphoma,5,3.1414141414141414,189.45454545454547,1.445,87.149,99,20.948
FL_examples (10),follicular_lymphoma,6,14.4,57.4,6.624,26.404,15,3.174
FL_examples (10),follicular_lymphoma,7,14.204301075268818,205.81720430107526,6.534,94.676,93,19.679
FL_examples (10),follicular_lymphoma,8,17.11842105263158,139.26315789473685,7.874,64.061,152,32.163
FL_examples (10),follicular_lymphoma,9,19.11764705882353,90.29411764705883,8.794,41.535,85,17.986
FL_examples (10),follicular_lymphoma,10,20.08108108108108,26.83783783783784,9.237,12.345,74,15.658
FL_examples (10),follicular_lymphoma,11,11.67741935483871,163.6057347670251,5.372,75.259,279,59.036
FL_examples (10),follicular_lymphoma,12,19.824074074074073,111.05555555555556,9.119,51.086,108,22.853
FL_examples (10),follicular_lymphoma,13,22.540816326530614,45.42857142857143,10.369,20.897,98,20.737
FL_examples (10),follicular_lymphoma,14,22.675324675324674,182.8961038961039,10.431,84.132,77,16.293
FL_examples (10),follicular_lymphoma,15,21.558823529411764,218.51960784313727,9.917,100.519,102,21.583
FL_examples (10),follicular_lymphoma,16,32.67195767195767,80.68783068783068,15.029,37.116,189,39.992
FL_examples (10),follicular_lymphoma,17,31.783505154639176,218.8762886597938,14.62,100.683,97,20.525
FL_examples (10),follicular_lymphoma,18,33.63492063492063,103.1984126984127,15.472,47.471,126,26.662
FL_examples (10),follicular_lymphoma,19,33.53,152.07,15.424,69.952,100,21.16
FL_examples (10),follicular_lymphoma,20,33.86206896551724,37.02298850574713,15.577,17.031,87,18.409
FL_examples (10),follicular_lymphoma,21,34.13157894736842,51.98684210526316,15.701,23.914,76,16.082
FL_examples (10),follicular_lymphoma,22,36.76699029126213,14.310679611650485,16.913,6.583,103,21.795
FL_examples (10),follicular_lymphoma,23,37.10144927536232,181.43478260869566,17.067,83.46,138,29.201
FL_examples (10),follicular_lymphoma,24,37.43283582089552,160.46268656716418,17.219,73.813,67,14.177
FL_examples (10),follicular_lymphoma,25,36.953271028037385,196.37383177570092,16.999,90.332,107,22.641
FL_examples (10),follicular_lymphoma,26,39.391891891891895,135.09459459459458,18.12,62.144,74,15.658
FL_examples (10),follicular_lymphoma,27,41.80451127819549,66.59398496240601,19.23,30.633,133,28.143
FL_examples (10),follicular_lymphoma,28,45.29333333333334,147.98,20.835,68.071,150,31.74
FL_examples (10),follicular_lymphoma,29,42.693069306930695,43.801980198019805,19.639,20.149,101,21.372
FL_examples (10),follicular_lymphoma,30,45.816326530612244,77.46938775510205,21.076,35.636,98,20.737
FL_examples (10),follicular_lymphoma,31,47.86046511627907,212.61627906976744,22.016,97.803,86,18.198
FL_examples (10),follicular_lymphoma,32,45.37735849056604,107.89622641509433,20.874,49.632,106,22.43
FL_examples (10),follicular_lymphoma,33,49.10112359550562,121.93632958801498,22.587,56.091,267,56.497
FL_examples (10),follicular_lymphoma,34,50.01851851851852,4.25,23.009,1.955,108,22.853
FL_examples (10),follicular_lymphoma,35,53.794392523364486,139.84112149532712,24.745,64.327,107,22.641
FL_examples (10),follicular_lymphoma,36,55.0,197.77064220183487,25.3,90.974,109,23.064
FL_examples (10),follicular_lymphoma,37,56.772277227722775,25.465346534653467,26.115,11.714,101,21.372
FL_examples (10),follicular_lymphoma,38,56.53333333333333,67.13333333333334,26.005,30.881,90,19.044
FL_examples (10),follicular_lymphoma,39,57.39393939393939,175.24242424242425,26.401,80.612,99,20.948
FL_examples (10),follicular_lymphoma,40,54.75595238095238,92.91666666666667,25.188,42.742,168,35.549
FL_examples (10),follicular_lymphoma,41,58.160919540229884,165.08045977011494,26.754,75.937,87,18.409
FL_examples (10),follicular_lymphoma,42,59.13483146067416,207.35955056179776,27.202,95.385,89,18.832
FL_examples (10),follicular_lymphoma,43,64.19685039370079,47.2992125984252,29.531,21.758,127,26.873
FL_examples (10),follicular_lymphoma,44,64.52857142857142,137.2,29.683,63.112,70,14.812
FL_examples (10),follicular_lymphoma,45,66.28767123287672,122.95890410958904,30.492,56.561,73,15.447
FL_examples (10),follicular_lymphoma,46,66.71428571428571,165.11904761904762,30.689,75.955,84,17.774
FL_examples (10),follicular_lymphoma,47,73.46448087431693,5.524590163934426,33.794,2.541,183,38.723
FL_examples (10),follicular_lymphoma,48,69.23275862068965,94.16379310344827,31.847,43.315,116,24.546
FL_examples (10),follicular_lymphoma,49,68.12359550561797,199.22471910112358,31.337,91.643,89,18.832
FL_examples (10),follicular_lymphoma,50,67.01030927835052,19.24742268041237,30.825,8.854,97,20.525
FL_examples (10),follicular_lymphoma,51,68.23140495867769,182.37190082644628,31.386,83.891,121,25.604
