image_name,category,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std
FL_examples (180),follicular_lymphoma,1,142,13.374,0.2757,39.668,5.708,20.6131,8.6827,1.1449,0.4212,18.2295,6.1919,1.1755,0.3397,0.8138,0.1941,-0.7415,0.2385,0.6984,0.1559,-0.6427,0.2232,0.889,0.0737,-1.4284,0.0829,6.4932,1.9304,0.9172,0.2973,4.2347,0.9206,0.4646,0.2174,1.5529,0.3993,1.0263,0.2571,6.1743,1.367,7.6107,1.5914,50.3136,0.2487,0.0417,2.8531,165.861,39.754
FL_examples (181),follicular_lymphoma,1,157,14.787,0.2561,31.767,5.19,17.3189,7.7177,0.5653,0.4456,16.6197,5.8145,0.8541,0.3499,0.8093,0.1994,-0.8867,0.2464,0.6907,0.1887,-0.8068,0.2733,0.868,0.086,-0.9415,0.099,6.0351,1.8239,0.8644,0.3022,3.8903,1.0641,-0.2802,0.2735,1.6556,0.7191,3.1577,0.4343,5.6267,1.3518,6.9974,1.2418,54.1188,0.238,0.0398,2.839,165.0853,41.2106
FL_examples (182),follicular_lymphoma,1,144,13.563,0.262,35.563,5.544,19.3159,8.1074,0.9832,0.4197,17.4444,6.1521,1.4264,0.3527,0.8263,0.1849,-1.0259,0.2237,0.6814,0.1626,-0.7434,0.2387,0.8882,0.0688,-1.1587,0.0774,6.1777,1.8568,1.0066,0.3006,4.1338,0.9358,0.2036,0.2264,1.5234,0.45,2.6081,0.2954,6.1615,1.3415,7.5916,1.4282,51.829,0.2423,0.0413,2.8351,160.3879,39.7113
FL_examples (183),follicular_lymphoma,1,141,13.28,0.2855,45.931,6.498,21.4961,11.813,0.9006,0.5495,19.546,8.7306,1.028,0.4467,0.7471,0.21,-0.4282,0.2811,0.7241,0.1651,-0.5368,0.2281,0.8596,0.0818,-0.8899,0.0952,6.8705,2.5085,0.9255,0.3651,4.2128,1.4645,0.4866,0.3476,1.7513,0.7665,2.516,0.4377,6.265,1.4726,7.7161,1.3683,49.3064,0.2503,0.041,2.8096,162.4397,41.4996
FL_examples (184),follicular_lymphoma,1,169,15.918,0.293,36.831,5.519,18.408,8.6989,0.9977,0.4726,16.9353,6.7233,1.4262,0.397,0.8343,0.1968,-1.0741,0.2358,0.6715,0.1685,-0.6733,0.2509,0.8903,0.0732,-1.1074,0.0822,6.024,2.0536,0.9535,0.3409,4.0361,1.0045,-0.09,0.2489,1.5218,0.5076,3.1591,0.3335,5.7658,1.1328,7.0049,1.2074,48.9226,0.2514,0.042,2.8204,159.5124,38.9846
FL_examples (185),follicular_lymphoma,1,147,13.845,0.2664,37.312,5.988,19.2412,8.6866,1.2203,0.4515,17.4606,6.5692,1.845,0.3762,0.8203,0.1937,-0.8565,0.2361,0.6625,0.1679,-0.4532,0.2535,0.8888,0.0763,-1.3503,0.0858,6.1071,1.9303,1.3534,0.3161,4.2004,1.0752,0.2009,0.256,1.4889,0.4157,1.6167,0.2792,6.0702,1.6319,7.3844,1.8004,52.4824,0.2437,0.0407,2.8534,162.8752,40.3223
FL_examples (186),follicular_lymphoma,1,150,14.128,0.2798,42.024,5.879,19.8015,9.9006,1.6482,0.5,17.6687,6.5258,1.1516,0.3693,0.8185,0.1879,-0.8853,0.2296,0.6826,0.1743,-0.9004,0.2554,0.8881,0.0701,-1.2413,0.0789,6.3154,2.1314,1.0419,0.3375,4.1651,1.0698,0.5867,0.2568,1.5388,0.4326,1.5772,0.2811,5.995,1.1086,7.4509,1.1854,46.5972,0.2508,0.0431,2.873,154.5864,37.2363
FL_examples (187),follicular_lymphoma,1,157,14.787,0.3331,45.666,6.177,22.5266,10.4353,1.247,0.4632,19.8959,7.5468,1.151,0.3793,0.7622,0.2076,-0.4916,0.2724,0.7194,0.1476,-0.8347,0.2052,0.865,0.0821,-1.0459,0.0949,7.0019,2.355,1.2266,0.3363,4.4045,1.059,0.4416,0.2404,1.6127,0.4635,1.6067,0.2874,6.2131,1.398,7.4614,1.3372,50.0421,0.249,0.0415,2.8776,164.4242,39.3112
FL_examples (188),follicular_lymphoma,1,163,15.352,0.3219,41.673,6.228,20.9666,9.9839,0.9942,0.4762,18.8479,7.42,1.1929,0.3937,0.7848,0.2075,-0.6548,0.2644,0.6745,0.1552,-0.3469,0.2301,0.8749,0.0786,-1.2792,0.0898,6.463,2.2127,1.1891,0.3424,4.3377,1.0916,0.3322,0.2517,1.517,0.4818,2.4473,0.3176,5.8554,1.079,7.1971,1.1874,56.0286,0.2135,0.0389,2.9482,164.4131,38.7827
FL_examples (189),follicular_lymphoma,1,162,15.258,0.3069,34.242,5.584,20.1124,7.4604,0.3436,0.3709,17.8949,5.2543,0.8633,0.2936,0.8095,0.1716,-0.7918,0.212,0.6846,0.1605,-0.991,0.2344,0.8854,0.0605,-1.149,0.0683,6.286,1.5879,1.0054,0.2526,4.261,0.9209,-0.2474,0.2161,1.5144,0.425,3.6334,0.2806,5.923,1.2871,7.3052,1.224,53.4082,0.2192,0.0394,2.9656,160.8734,39.1559
