image_name,category,sigma,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std,probability
FL_examples (88),follicular_lymphoma,0.1,1,146,13.751,0.4761,83.808,9.08,34.6212,21.4695,1.8038,0.6201,25.4294,11.5477,1.3937,0.4541,0.7098,0.1942,-0.2668,0.2736,0.7157,0.1619,-1.0458,0.2263,0.86,0.0702,-0.8529,0.0816,8.5443,3.1082,0.8743,0.3638,5.4218,1.8632,1.1775,0.3436,1.6134,0.4436,1.2472,0.275,6.4193,1.2927,7.8121,1.1802,33.6779,0.283,0.0487,2.4989,186.9729,36.7974,0.9928377270698547
FL_examples (88),follicular_lymphoma,0.2,1,148,13.94,0.4127,69.899,8.436,29.6097,18.0762,2.0032,0.6105,24.0695,10.8389,1.5228,0.4503,0.687,0.2027,-0.2167,0.2951,0.7333,0.1425,-0.8745,0.1943,0.8457,0.0813,-0.94,0.0962,8.0243,2.7878,0.7821,0.3474,5.0348,1.7143,1.2581,0.3405,1.6305,0.4045,0.9046,0.2481,6.3125,1.2558,7.6654,1.2694,46.9647,0.2558,0.0421,2.7221,172.6797,40.3772,0.9992252588272095
FL_examples (88),follicular_lymphoma,0.3,1,149,14.034,0.4654,79.279,8.661,33.1644,19.8676,1.3601,0.5991,25.1002,11.6188,1.3727,0.4629,0.7092,0.2035,-0.2842,0.2869,0.7231,0.1528,-0.7732,0.2113,0.8588,0.0751,-0.8212,0.0875,8.4425,3.2199,1.1486,0.3814,5.2787,1.7419,1.1229,0.33,1.6252,0.4394,1.1779,0.2703,6.2771,1.3369,7.6626,1.2449,38.3275,0.2761,0.0462,2.5701,182.8287,38.7002,0.9975365400314331
FL_examples (259),follicular_lymphoma,0.0,1,185,17.424,0.3418,34.29,5.328,19.6171,7.3842,0.8758,0.3764,17.5098,5.7416,2.4469,0.3279,0.8302,0.1751,-1.1106,0.2109,0.67,0.1738,-0.5656,0.2594,0.8839,0.0788,-1.7868,0.0892,6.3117,2.0294,2.5022,0.3215,4.2269,0.8384,-0.1683,0.1984,1.517,0.436,1.536,0.2874,5.7374,0.9772,6.8191,1.0716,43.9444,0.2884,0.0462,2.8042,165.7633,38.1948,0.9968122839927673
FL_examples (259),follicular_lymphoma,0.1,1,185,17.424,0.339,34.034,5.313,19.4581,7.3709,0.9107,0.3788,17.3646,5.8728,2.6767,0.3382,0.8369,0.1745,-1.2411,0.2086,0.6664,0.1769,-0.5927,0.2655,0.8872,0.0765,-1.8496,0.0863,6.2557,2.02,2.5754,0.3229,4.2079,0.8521,-0.285,0.2025,1.5141,0.4425,1.5357,0.2923,5.7232,0.982,6.81,1.0738,43.411,0.2884,0.0463,2.7907,165.7295,38.0983,0.9923810362815857
FL_examples (259),follicular_lymphoma,0.2,1,184,17.33,0.3369,34.379,5.263,19.4407,7.4647,1.0912,0.384,17.4528,5.9126,2.4954,0.3388,0.8336,0.18,-1.2431,0.2159,0.6684,0.1768,-0.5785,0.2645,0.8831,0.0827,-2.0828,0.0936,6.2816,2.055,2.6127,0.3271,4.2118,0.8698,-0.4421,0.2065,1.5247,0.4612,1.5939,0.3025,5.7474,1.0093,6.8441,1.0862,46.4417,0.2814,0.0452,2.8197,164.7751,38.5567,0.9975838661193848
FL_examples (259),follicular_lymphoma,0.3,1,185,17.424,0.3434,34.535,5.52,19.7051,7.4233,0.8754,0.3767,17.6684,5.9939,2.5481,0.3392,0.8242,0.1797,-1.105,0.218,0.6676,0.1728,-0.532,0.2589,0.8785,0.0854,-1.7415,0.0972,6.3259,2.0437,2.5442,0.3231,4.256,0.8626,-0.143,0.2027,1.5126,0.4516,1.9607,0.2985,5.7107,1.0273,6.8156,1.0813,46.2296,0.281,0.0448,2.8079,161.9507,39.0399,0.9986531734466553
FL_examples (284),follicular_lymphoma,0.0,1,141,13.28,0.2804,39.992,5.495,21.112,8.7151,1.287,0.4128,18.1341,5.8627,1.4681,0.3233,0.8308,0.1728,-0.9229,0.208,0.6882,0.1488,-0.4977,0.2162,0.8966,0.061,-1.2985,0.068,6.5206,2.1123,1.4775,0.3239,4.2947,0.7874,0.1894,0.1833,1.5221,0.4095,1.6906,0.2691,6.1187,1.3621,7.4535,1.4122,48.5622,0.2517,0.0419,3.0428,169.4018,39.9997,0.9859289526939392
FL_examples (284),follicular_lymphoma,0.1,1,142,13.374,0.2837,38.681,5.414,21.2151,8.4643,1.1138,0.399,18.2197,5.7341,1.3127,0.3147,0.8279,0.1747,-0.8488,0.211,0.6889,0.1493,-0.5315,0.2167,0.8977,0.0605,-1.3306,0.0674,6.5265,2.0225,1.1841,0.3099,4.3039,0.7744,0.1754,0.1799,1.5197,0.3919,1.4993,0.2578,6.1291,1.3052,7.436,1.4094,49.8447,0.2505,0.0415,3.0395,169.0307,40.4426,0.9497294425964355
FL_examples (284),follicular_lymphoma,0.2,1,141,13.28,0.2815,39.132,5.57,21.1975,8.5573,1.1257,0.4037,18.2013,5.821,1.2939,0.3198,0.8301,0.176,-0.8798,0.212,0.688,0.1549,-0.7329,0.2252,0.8972,0.0609,-1.3345,0.0679,6.5354,2.062,1.1819,0.3155,4.2955,0.771,0.1181,0.1795,1.524,0.399,1.4753,0.2618,6.1655,1.3381,7.4609,1.4151,47.9673,0.2522,0.0418,3.0397,168.5595,40.3136,0.9931898713111877
