validation,model,fold,auc_roc,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,false_negative_rate,false_positive_rate,n_train,n_test,best_params,sottoinsieme,n_biomarcatori
contributo: solo morfometria e spaziale,xgboost,4,0.825,0.775,0.7749999999999999,0.8,0.7333333333333333,0.8166666666666667,0.7652173913043478,0.2666666666666667,0.18333333333333335,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo tessitura e intensita',logistic_regression,0,0.9647222222222223,0.8666666666666667,0.8666666666666667,0.8235294117647058,0.9333333333333333,0.8,0.8749999999999999,0.06666666666666665,0.19999999999999996,480,120,{'model__C': 0.1},solo tessitura e intensita',5
contributo: solo tessitura e intensita',random_forest,0,0.9766666666666667,0.9166666666666666,0.9166666666666666,0.890625,0.95,0.8833333333333333,0.9193548387096774,0.050000000000000044,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',xgboost,0,0.9630555555555556,0.875,0.875,0.8571428571428571,0.9,0.85,0.8780487804878048,0.09999999999999998,0.15000000000000002,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',logistic_regression,1,0.9702777777777778,0.875,0.875,0.8169014084507042,0.9666666666666667,0.7833333333333333,0.8854961832061069,0.033333333333333326,0.21666666666666667,480,120,{'model__C': 0.01},solo tessitura e intensita',5
contributo: solo tessitura e intensita',random_forest,1,0.9801388888888889,0.8833333333333333,0.8833333333333333,0.8484848484848485,0.9333333333333333,0.8333333333333334,0.888888888888889,0.06666666666666665,0.16666666666666663,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',xgboost,1,0.9691666666666666,0.9,0.8999999999999999,0.8636363636363636,0.95,0.85,0.9047619047619048,0.050000000000000044,0.15000000000000002,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',logistic_regression,2,0.95,0.8583333333333333,0.8583333333333334,0.9056603773584906,0.8,0.9166666666666666,0.8495575221238938,0.19999999999999996,0.08333333333333337,480,120,{'model__C': 0.1},solo tessitura e intensita',5
contributo: solo tessitura e intensita',random_forest,2,0.9716666666666667,0.8666666666666667,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.16666666666666663,0.09999999999999998,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',xgboost,2,0.9605555555555556,0.875,0.875,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8695652173913043,0.16666666666666663,0.08333333333333337,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',logistic_regression,3,0.7919444444444445,0.7666666666666667,0.7666666666666666,0.8478260869565217,0.65,0.8833333333333333,0.7358490566037735,0.35,0.1166666666666667,480,120,{'model__C': 1.0},solo tessitura e intensita',5
contributo: solo tessitura e intensita',random_forest,3,0.8841666666666667,0.7916666666666666,0.7916666666666667,0.8723404255319149,0.6833333333333333,0.9,0.766355140186916,0.31666666666666665,0.09999999999999998,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',xgboost,3,0.8961111111111111,0.8083333333333333,0.8083333333333333,0.8936170212765957,0.7,0.9166666666666666,0.7850467289719626,0.30000000000000004,0.08333333333333337,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',logistic_regression,4,0.7797222222222221,0.6666666666666666,0.6666666666666667,0.717391304347826,0.55,0.7833333333333333,0.6226415094339623,0.44999999999999996,0.21666666666666667,480,120,{'model__C': 0.1},solo tessitura e intensita',5
contributo: solo tessitura e intensita',random_forest,4,0.9129166666666666,0.7833333333333333,0.7833333333333333,0.8541666666666666,0.6833333333333333,0.8833333333333333,0.7592592592592592,0.31666666666666665,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo tessitura e intensita',5
contributo: solo tessitura e intensita',xgboost,4,0.9305555555555555,0.8166666666666667,0.8166666666666667,0.88,0.7333333333333333,0.9,0.8,0.2666666666666667,0.09999999999999998,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",solo tessitura e intensita',5
